,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
142,33.3,34.3,77.8,72.7,0.9612445,0.8879,0.35666666666666663,1162.0
145,25.1,42.6,80.4,54.7,0.9612445,0.8879,0.5700000000000001,1006.0
148,76.7,15.4,80.2,46.0,0.9612445,0.8879,0.59,1188.0
153,53.9,27.4,84.4,64.6,0.9612445,0.8879,0.5666666666666667,1109.0
154,50.8,19.7,66.9,48.3,0.9612445,0.8879,0.73,1222.0
158,55.1,12.9,75.1,60.0,0.9612445,0.8879,0.51,1117.0
172,49.7,12.1,82.6,61.1,0.9612445,0.8879,0.6066666666666667,1082.0
188,34.1,41.3,78.6,49.2,0.9612445,0.8879,0.39666666666666667,1164.0
189,57.1,34.8,87.9,68.1,0.9612445,0.8879,0.38999999999999996,1056.0
191,84.5,11.3,86.3,64.4,0.9612445,0.8879,0.5833333333333334,1132.0
201,32.5,16.3,60.9,53.1,0.9612445,0.8879,0.55,1229.0
203,53.0,3.5,52.0,44.7,0.9612445,0.8879,0.7433333333333334,1491.0
210,68.2,17.0,76.7,63.6,0.9612445,0.8879,0.8233333333333334,1277.0
217,52.6,20.5,75.6,62.6,0.9612445,0.8879,0.59,1140.0
218,45.4,22.1,81.7,66.6,0.9612445,0.8879,0.5766666666666667,1137.0
219,54.2,19.7,82.6,65.3,0.9612445,0.8879,0.5033333333333333,1028.0
222,37.3,26.2,69.2,55.1,0.9612445,0.8879,0.51,1168.0
225,51.2,21.4,79.2,59.5,0.9612445,0.8879,0.6,1086.0
233,1.1,16.7,32.6,24.8,0.730352,0.74419,0.5466666666666666,1497.0
241,11.3,21.1,34.5,17.9,0.6476025,0.73535,0.5366666666666667,1569.0
256,46.3,11.9,62.1,46.8,0.6940655,0.79723,0.6799999999999999,1321.0
280,28.5,16.2,28.0,11.7,0.858273,0.91507,0.4766666666666667,1806.0
290,16.6,10.7,19.9,8.3,0.8825405000000001,0.90475,0.5133333333333333,1578.0
297,25.8,16.6,40.5,27.4,1.309175,0.78456,0.5166666666666667,1561.0
313,5.2,7.7,17.8,11.6,0.66041,0.77664,0.5700000000000001,1564.0
321,0.5,20.1,31.5,17.9,0.6794185,0.66921,0.5166666666666667,1527.0
325,8.4,12.6,20.4,8.6,0.6102455,0.73471,0.56,1620.0
330,87.2,9.3,71.9,46.7,0.6367229999999999,0.64772,0.7666666666666667,1321.0
345,12.7,15.9,50.1,42.4,0.6854935000000001,0.65358,0.53,1396.0
346,16.8,20.1,56.4,47.4,0.6854935000000001,0.65358,0.45666666666666667,1412.0
357,27.3,19.5,45.7,33.3,0.589746,0.66247,0.42,1480.0
358,0.4,12.3,16.2,4.3,0.707491,0.82963,0.5933333333333334,1686.0
